file_size,download_speed_limit,concurrent_downloads,access_network,time_of_day,time_taken_1,time_taken_2,throughput_1,throughput_2,avg_throughput
10kB,0,5,IIT Mandi-Wifi,7 to 10 pm,.406040628,.382193056,123.14038682848259214100,130.82393626743443502019,126.98216154795851358059
10kB,5m,1,IIT Mandi-Wifi,7 to 10 pm,.368827929,.390139271,27.11291421751306691310,25.63187236795754406379,26.37239329273530548844
10kB,5m,2,IIT Mandi-Wifi,7 to 10 pm,.383274552,.412199817,52.18191475441343676790,48.52015739735275040163,50.35103607588309358476
10kB,5m,5,IIT Mandi-Wifi,7 to 10 pm,.437219008,.479683103,114.35916345155789750110,104.23548314979942080636,109.29732330067865915373
10kB,10m,1,IIT Mandi-Wifi,7 to 10 pm,.369961590,.380768778,27.02983301590848931101,26.26265749131353411544,26.64624525361101171322
10kB,10m,2,IIT Mandi-Wifi,7 to 10 pm,.374350222,.369686810,53.42590660998726481321,54.09984738162554406525,53.76287699580640443923
10kB,10m,5,IIT Mandi-Wifi,7 to 10 pm,.423673842,.399484510,118.01531046611086270461,125.16129849440219847322,121.58830448025653058891
100kB,0,1,IIT Mandi-Wifi,7 to 10 pm,.637529505,.594594405,156.85548545710053058642,168.18187180890139724742,162.51867863300096391692
100kB,0,2,IIT Mandi-Wifi,7 to 10 pm,.689398386,.558871645,290.10801890679216066513,357.86392419318392866397,323.98597154998804466455
100kB,0,5,IIT Mandi-Wifi,7 to 10 pm,.624932507,.625671243,800.08640037027230526191,799.14173073158166548498,799.61406555092698537344
100kB,5m,1,IIT Mandi-Wifi,7 to 10 pm,.642793631,.571934818,155.57092537527024750498,174.84509921898127908694,165.20801229712576329596
100kB,5m,2,IIT Mandi-Wifi,7 to 10 pm,.563985918,.563621231,354.61878322997419236981,354.84823672300591529704,354.73350997649005383342
100kB,5m,5,IIT Mandi-Wifi,7 to 10 pm,.601513104,-2.292477808,831.23708639936795125913,0,415.61854319968397562956
100kB,10m,1,IIT Mandi-Wifi,7 to 10 pm,.581275588,.623513005,172.03543734577066050810,160.38157856867797007698,166.20850795722431529254
100kB,10m,2,IIT Mandi-Wifi,7 to 10 pm,.684999561,.758405327,291.97099003688266597297,263.71122786166822375180,277.84110894927544486238
100kB,10m,5,IIT Mandi-Wifi,7 to 10 pm,.760192045,.907652055,657.72853489936217367283,550.87188669451092687715,604.30021079693655027499
500kB,0,1,IIT Mandi-Wifi,7 to 10 pm,1.157663947,.984524340,431.90426832908876966175,507.85946033594253241113,469.88186433251565103644
500kB,0,2,IIT Mandi-Wifi,7 to 10 pm,.929913008,1.860269738,1075.36940702737217759190,537.55645193428395167496,806.46292948082806463343
500kB,0,5,IIT Mandi-Wifi,7 to 10 pm,.838788979,1.093180416,2980.48742006659102753900,2286.90522022670409785313,2633.69632014664756269606
500kB,5m,1,IIT Mandi-Wifi,7 to 10 pm,.735311214,.726370947,679.98418966040683829418,688.35352248745708712933,684.16885607393196271175
500kB,5m,2,IIT Mandi-Wifi,7 to 10 pm,.735795806,.660479590,1359.07270990886838515086,1514.05132746039888984306,1436.56201868463363749696
500kB,5m,5,IIT Mandi-Wifi,7 to 10 pm,.946925629,.913773824,2640.12286016603316584221,2735.90677948769957323706,2688.01481982686636953963
500kB,10m,1,IIT Mandi-Wifi,7 to 10 pm,.708968699,.846564522,705.24975320525398823002,590.62243574625018363337,647.93609447575208593169
500kB,10m,2,IIT Mandi-Wifi,7 to 10 pm,.856371699,.763518489,1167.71724377127040019102,1309.72597835806959744756,1238.72161106466999881929
500kB,10m,5,IIT Mandi-Wifi,7 to 10 pm,1.006107459,.811537470,2484.82403905923134598289,3080.57248422552812010023,2782.69826164237973304156
1MB,0,1,IIT Mandi-Wifi,7 to 10 pm,.847604149,.861700665,1208.11112263680058979985,1188.34769612252765291761,1198.22940937966412135873
1MB,0,2,IIT Mandi-Wifi,7 to 10 pm,.925417458,.860372584,2213.05528904340164285078,2380.36408654323183315194,2296.70968779331673800136
1MB,0,5,IIT Mandi-Wifi,7 to 10 pm,1.221772932,1.142762475,4190.63138976138325513336,4480.37112874221740611494,4335.50125925180033062415
1MB,5m,1,IIT Mandi-Wifi,7 to 10 pm,.786476445,1.014960775,1302.00975059081394357589,1008.90598456871399783898,1155.45786757976397070743
1MB,5m,2,IIT Mandi-Wifi,7 to 10 pm,.876382022,-1.846810342,2336.88043408996356613988,0,1168.44021704498178306994
1MB,5m,5,IIT Mandi-Wifi,7 to 10 pm,1.405715897,1.238100150,3642.27224784667850988954,4135.36820910650887167730,3888.82022847659369078342
1MB,10m,1,IIT Mandi-Wifi,7 to 10 pm,.864690064,1.021215791,1184.23935076001983526897,1002.72636696821308749229,1093.48285886411646138063
